,feature_0,feature_1,feature_2,feature_3,target
0,-267913397.48949817,0.45947658420077064,-0.3977315906575932,-0.42216396275100765,1.0
1,-500000000.0,-1.195931686791946,0.07302042789075994,-1.6081226496766366e-16,1.0
2,-212889645.7825361,-0.09780106624001739,-0.49843484787811826,-0.4524135262330099,1.0
3,-876306680.0438635,-0.8712565148570205,0.4885001997829506,0.4817536741017152,0.0
4,1000000000.0,1.3654622638110654,0.04429600026044911,0.0,0.0
5,-318711994.8743449,1.6736685788148344,0.44262005745602734,0.3852566213878946,1.0
6,-809016994.3749472,-0.7448939974008285,-0.4939836648088928,-0.5877852522924734,0.0
7,212889645.7825363,-0.8022658787615022,-0.5335101680745815,-0.4524135262330098,1.0
8,438153340.02193177,1.2880475673801182,-0.21396498538983572,-0.24087683705085766,1.0
9,364484313.71070576,-0.5462031416186985,0.37976311345087577,0.34227355296434436,1.0
10,535826794.9789966,0.02579606502815739,0.7991602927036864,0.8443279255020151,0.0
11,464888242.9441257,1.8383499273176678,-0.14326807437719402,-0.18406227634233893,1.0
12,31395259.76465665,0.12008496350938339,0.5317248342457749,0.4990133642141358,1.0
13,-496057350.65723896,-1.5596130672739479,-0.03730303450140131,0.06266661678215205,1.0
14,-438153340.02193177,0.5938407993971748,0.26210313391623863,0.2408768370508576,1.0
15,-728968627.4214115,0.4283051031390786,-0.6361591551758692,-0.6845471059286887,0.0
16,-968583161.1286311,0.9038010749998022,-0.18397519388297065,-0.24868988716485502,0.0
17,-62790519.52931321,0.052918968040588286,-1.0097213835669432,-0.9980267284282716,0.0
18,-637423989.7486898,-0.2688737452973774,0.708321505489992,0.7705132427757893,0.0
19,992114701.3144779,-0.6139720740209079,0.19212814949077178,0.12533323356430426,0.0
20,,,,,
21,-31395259.7646567,-0.564534204450597,0.5783881528865542,0.4990133642141358,1.0
22,809016994.3749474,-0.7507109534018478,0.6526464766239766,0.5877852522924731,0.0
23,484291580.5643156,1.9280503488790135,-0.11464454382781963,-0.12434494358242724,1.0
24,31395259.76465686,-2.074500670270754,-0.5146330038639065,-0.4990133642141358,1.0
25,-187381314.58572483,-1.340617004678762,0.9144205987833858,0.9822872507286886,0.0
26,929776485.8882514,-0.34720604480461537,-0.4589155053225106,-0.36812455268467786,0.0
27,-496057350.65723896,2.0702037221290985,-0.11316596063808637,-0.06266661678215214,1.0
28,318711994.874345,0.9768380735028557,-0.37645102220462057,-0.3852566213878945,1.0
29,318711994.8743448,0.4135909723791329,0.3513371486780168,0.3852566213878946,1.0
